id,sold_price,predicted_price
604437,230100,218950.785625
179008,265000,266013.453875
698834,1977500,1978828.8575
668752,710000,713638.5615
945582,252000,274143.17343749997
455173,208000,233603.66203125002
211341,980000,979295.3105625001
218863,180000,185046.40625
1854713,190000,196355.48762499998
34919,424000,415302.9440625
1345935,335000,342356.62703125004
1482863,2200000,2198624.6890000002
1520547,980000,984015.844
1946051,150000,177072.24393750002
199063,1580000,1590654.8542499999
637218,138500,141171.891
646035,65000,68641.23521875001
774643,180000,186621.389390625
1924341,230000,214258.6015625
1108796,246111,246164.96265625002
81048,354000,181959.58825
1877422,206000,207224.7675
1238648,151000,143779.20590625
836110,145000,154153.70226562498
629374,375000,381173.8675
1358594,170000,191440.051171875
385589,350000,351205.66721875
1869610,137000,124923.93346875001
455001,605000,604372.517
1616631,242000,242865.410046875
1903786,130025,127828.810078125
60968,478000,470522.07775
767016,250000,252628.89585937498
1098832,220000,205761.4321875
729234,294000,261447.78515625
279652,225000,224620.924375
812714,250000,250921.98546875
743418,350000,247113.20109375
1754830,395000,394601.37890625
249390,260000,257866.09475
676126,99000,109173.8513125
1505446,560000,560510.3725
1176431,555000,553619.5261875
767117,162000,163838.33550000002
43565,89000,108421.277046875
515621,205000,197970.220125
1885443,255000,260915.4748125
542816,827000,831840.6577499999
478325,75000,75792.1812578125
564657,186000,173636.0803125
1285218,195000,184234.16190625
1101759,235000,248759.47425000003
463091,440000,491955.11268749996
1777430,810000,816911.0675
657806,570000,569346.77925
1627107,290000,288649.38937499997
1124772,115000,220244.95228125
736288,242000,249525.16224999996
1273467,450000,438688.05500000005
1086912,410000,422128.61968749994
1634704,384000,378280.6781875
1185259,450000,279251.87915625
932777,82000,154703.24496875
612703,290000,252448.69950000002
934571,176211,205832.38546875
202889,295000,290557.813203125
446497,258000,266934.825625
926375,630000,616951.71375
828445,190000,187938.914296875
184811,125000,148066.45975
1246159,320000,314497.547
838839,348000,349751.2260625
438722,1425000,1409751.9915
1821327,505000,503630.1253125
1372155,365000,368716.58184374997
1852557,255000,420119.02640624996
295007,1595000,1595500.31
359908,205000,222429.26446874999
1132453,785000,780603.1661875
120081,250000,251886.206875
1319348,247000,247839.34499999997
947061,390000,393223.58774999995
110708,190970,183895.20646875002
1916576,359000,361899.03437500005
20396,261000,264027.67359375
1201259,818000,814842.5538750001
1429699,418000,389475.67725
1597227,291050,291016.73496875
1199904,300000,296190.66750000004
841324,223000,224684.63453125002
728415,320000,295349.482921875
1139912,162000,162824.92715625002
